datetime,agency,observer,adulttotal,puptotal,airtemp,windspeed,winddirection,skycondition,precip,notes
2013-08-07 22:24:00,nmml,Withrow/Jansen/Brady,69,0,40s,>25,,Cloudy,No Precip,new data
2013-08-04 15:02:00,nmml,Withrow/Jansen/Brady,193,44,50s,>25,,Overcast,Drizzle,new data
2013-07-12 15:33:00,nmml,Withrow,122,49,>70,<5,,Cloudy,No Precip,new data
2013-06-29 15:40:00,nmml,Withrow/Burns,58,19,60s,<5,,Partly Cloudy,No Precip,new data
2013-04-04 16:13:00,nmml,Withrow/Dahle,9,0,<40,5-15,,Cloudy,No Precip,new data
2012-08-10 15:10:00,nmml,Withrow/Burns,262,0,60s,5-15,,Partly Cloudy,No Precip,
2012-07-10 14:11:00,nmml,Withrow,125,43,50s,16-25,,Overcast,No Precip,
2012-04-03 15:30:00,nmml,Withrow/Dahle,0,0,22,16-25,,Clear,No Precip,
2011-11-07 15:03:00,nmml,Withrow/Kugo/Wynne,0,0,<40,>25,,Overcast,No Precip,
2011-08-15 17:23:00,nmml,Withrow/Yano,136,22,50s,5-15,,Partly Cloudy,No Precip,
2011-08-13 21:35:00,nmml,Withrow/Yano,180,16,50s,5-15,,Partly Cloudy,No Precip,
2011-07-15 14:00:00,nmml,Withrow/Burns,138,43,40s,>5,,Fog,No Precip,
2011-06-17 13:47:00,nmml,Withrow/Burns/Askaok/Van Landen,75,4,50s,5-15,,Clear,No Precip,
2011-04-14 14:37:00,nmml,Withrow/Burns/Askaok/Seagers,73,0,<40,5-15,,Partly Cloudy,No Precip,
2010-11-03 14:04:00,nmml,Withrow/Burns/Askaok,8,0,<40,5-15,,Partly Cloudy,No Precip,
2010-08-24 14:18:00,nmml,Withrow/Yano,179,0,60s,5-15,,Partly Cloudy,No Precip,
2010-08-03 16:14:00,nmml,Withrow,188,55,50s,>25,,Overcast,No Precip,
2010-07-09 14:27:00,nmml,Withrow/Burns/Askaok,142,63,50s,16-25,,Overcast,No Precip,
2010-05-28 15:04:00,nmml,Withrow/Askoak,30,0,50s,16-25,,Overcast,No Precip,
2010-04-03 14:02:00,nmml,Withrow/Burns,11,0,<40s,5-15,,Clear,No Precip,
2009-08-22 13:59:00,nmml,Withrow/Yano,228,,50s,5-15,,Partly Cloudy,No Precip,
2009-08-20 16:38:00,nmml,Withrow/Yano/Gomez,180,,40s,5-15,,Partly Cloudy,No Precip,
2009-08-20 14:34:00,nmml,Withrow/Yano/Gomez,140,,40s,5-15,,Partly Cloudy,No Precip,updated data
2009-08-15 16:51:00,nmml,Withrow/Yano,131,,40s,5-15,,Partly Cloudy,No Precip,
2009-06-14 15:16:00,nmml,Withrow,27,,50s,<5,,Overcast,No Precip,
2009-06-14 14:25:00,nmml,Withrow,21,,50s,<5,,Overcast,No Precip,
2009-05-09 15:23:00,nmml,Withrow,0,,40s,5-15,,Overcast,No Precip,
2008-08-20 11:44:00,nmml,Withrow,216,,40s,16-25,,Fog,No Precip,
2008-08-15 10:14:00,nmml,Withrow,232,,40s,5-15,,Fog,No Precip,
2008-08-03 16:15:00,nmml,London,24,,50s,<5,,Clear,No Precip,
2008-08-02 14:23:00,nmml,Withrow/Yano/London,235,,40s,5-15,,Fog,No Precip,
2008-07-25 14:47:00,nmml,Withrow/Yano,82,,60s,5-15,,Clear,No Precip,
2008-07-24 14:07:00,nmml,Withrow/Yano,151,,40s,5-15,,Overcast,No Precip,
2005-08-10 16:34:00,nmml,Withrow,80,,,,,,,
2003-08-06 18:15:00,adfg,Wells,171,,61-70,Calm,SE,LO,No Precip,
1999-08-23 13:38:00,adfg,Small,225,,41-50,LB,E,LO,Drizzle,
1998-08-22 16:08:00,adfg,Small,218,,51-60,C,,HO,,
1998-08-13 00:00:00,adfg,Small,321,,,,,,,no survey time
1991-08-27 15:44:00,mathisen_kline,Mathisen/Kline,137,,,15-25,N,30% Cloud,,
1991-08-27 10:28:00,mathisen_kline,Mathisen/Kline,122,,,10-20,N,Clear,,
1991-08-26 12:08:00,mathisen_kline,Mathisen/Kline,12,,,30,N,Clear,,
1991-08-26 11:00:00,mathisen_kline,Mathisen/Kline,64,,,30,N,Clear,,
1991-08-25 17:00:00,mathisen_kline,Mathisen/Kline,51,,,,,,,
1991-08-25 15:22:00,mathisen_kline,Mathisen/Kline,89,,,10-20,W,Cloudy,Showers,
1991-08-24 12:00:00,mathisen_kline,Mathisen/Kline,103,,,45,E,Overcast,,
1991-08-23 14:40:00,mathisen_kline,Mathisen/Kline,67,,,0-5,Variable,Clear,,
1988-07-05 00:00:00,mathisen_kline,Kline,20,,,,,,,no survey time
1987-09-10 00:00:00,mathisen_kline,Kline,0,,,,,,,no survey time
1987-08-29 00:00:00,mathisen_kline,Kline,75,,,,,,,no survey time
1984-08-06 00:00:00,mathisen_kline,Kline,77,,,,,,,no survey time
2005-03-30 12:00:00,pebble_abr,Pebble Mine,0,,3.2,9.32,WSW,Partly Cloudy,,
2005-04-25 12:00:00,pebble_abr,Pebble Mine,0,,51.8,6.84,ESE,Clear,,
2005-05-04 15:00:00,pebble_abr,Pebble Mine,101,,48.2,17.4,E,Overcast,,
2005-05-10 14:00:00,pebble_abr,Pebble Mine,4,,55.4,10.56,ESE,Scattered Clouds,,
2005-05-11 13:00:00,pebble_abr,Pebble Mine,1,,59,11.81,ESE,Mostly Cloudy,,
2005-05-25 19:00:00,pebble_abr,Pebble Mine,0,,53.6,13.67,ESE,Clear,,
2005-05-26 13:00:00,pebble_abr,Pebble Mine,0,,48.2,10.56,E,Mostly Cloudy,,
2005-05-31 10:30:00,pebble_abr,Pebble Mine,0,,48.2,14.91,E,Light Rain,,
2005-06-28 16:00:00,pebble_abr,Pebble Mine,105,,71.6,10.56,SSW,Clear,,
2005-06-29 09:30:00,pebble_abr,Pebble Mine,96,,57.2,5.59,S,Clear,,
2005-07-21 12:00:00,pebble_abr,Pebble Mine,30,,57.2,4.35,SE,Overcast,,
2005-07-22 12:00:00,pebble_abr,Pebble Mine,107,,62.6,18.64,E,Clear,,
2005-07-26 16:00:00,pebble_abr,Pebble Mine,125,,57.2,10.56,ESE,Light Rain,,
2005-08-11 16:00:00,pebble_abr,Pebble Mine,194,,71.6,6.84,SSE,Clear,,
2005-08-17 16:00:00,pebble_abr,Pebble Mine,276,,55.4,9.32,N,Light Rain,,
2005-08-21 11:00:00,pebble_abr,Pebble Mine,211,,59,10.56,WNW,Mostly Cloudy,,
